Team,year,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,finaly-16,final-8,final-4,final-2,champion,win
New York Knicks,2011,81,19540,3101,6782,0.457,758,2058,0.368,2343,4724,0.496,1672,2066,0.809,835,2445,3280,1735,617,470,1078,1727,8632,Y,N,N,N,N,42
Houston Rockets,2011,81,19640,3128,6891,0.454,665,1812,0.367,2463,5079,0.485,1643,2051,0.801,950,2513,3463,1923,576,368,1033,1623,8564,N,N,N,N,N,42
Phoenix Suns,2011,81,19765,3182,6752,0.471,693,1838,0.377,2489,4914,0.507,1448,1910,0.758,807,2446,3253,1922,542,354,1110,1638,8505,N,N,N,N,N,39
Oklahoma City Thunder,2011,81,19740,3024,6521,0.464,479,1383,0.346,2545,5138,0.495,1963,2383,0.824,890,2565,3455,1646,645,480,1081,1816,8490,Y,Y,Y,N,N,55
San Antonio Spurs,2011,81,19540,3113,6546,0.476,680,1706,0.399,2433,4840,0.503,1493,1947,0.767,817,2564,3381,1817,600,368,1046,1531,8399,Y,N,N,N,N,61
Golden State Warriors,2011,81,19590,3206,6959,0.461,675,1726,0.391,2531,5233,0.484,1280,1680,0.762,946,2338,3284,1814,722,399,1146,1785,8367,N,N,N,N,N,35
Miami Heat,2011,81,19540,2994,6220,0.481,534,1453,0.368,2460,4767,0.516,1750,2274,0.77,777,2639,3416,1619,538,429,1070,1656,8272,Y,Y,Y,Y,N,57
Los Angeles Lakers,2011,81,19565,3083,6666,0.462,518,1471,0.352,2565,5195,0.494,1521,1957,0.777,985,2577,3562,1771,594,418,1021,1538,8205,Y,Y,N,N,N,56
Minnesota Timberwolves,2011,81,19540,3049,6922,0.44,585,1552,0.377,2464,5370,0.459,1503,1956,0.768,1073,2526,3599,1630,583,420,1341,1803,8186,N,N,N,N,N,17
Indiana Pacers,2011,81,19540,2976,6699,0.444,576,1628,0.354,2400,5071,0.473,1581,2019,0.783,905,2631,3536,1595,573,455,1193,1759,8109,Y,N,N,N,N,37
Dallas Mavericks,2011,81,19465,3029,6390,0.474,632,1740,0.363,2397,4650,0.515,1409,1816,0.776,774,2582,3356,1922,550,351,1093,1558,8099,Y,Y,Y,Y,Y,56
Memphis Grizzlies,2011,81,19640,3164,6717,0.471,302,911,0.332,2862,5806,0.493,1462,1953,0.749,957,2365,3322,1666,763,437,1080,1681,8092,Y,Y,N,N,N,46
Orlando Magic,2011,81,19590,2924,6338,0.461,762,2077,0.367,2162,4261,0.507,1433,2076,0.69,852,2636,3488,1619,540,380,1152,1622,8043,Y,N,N,N,N,51
Utah Jazz,2011,81,19640,3025,6513,0.464,427,1241,0.344,2598,5272,0.493,1569,2035,0.771,888,2311,3199,1896,618,479,1098,1845,8046,N,N,N,N,N,38
Sacramento Kings,2011,81,19590,3089,6880,0.449,421,1253,0.336,2668,5627,0.474,1444,1962,0.736,1055,2489,3544,1651,603,385,1270,1785,8043,N,N,N,N,N,24
Toronto Raptors,2011,81,19540,3116,6691,0.466,344,1083,0.318,2772,5608,0.494,1469,1942,0.756,953,2320,3273,1779,573,342,1135,1792,8045,N,N,N,N,N,22
Philadelphia 76ers,2011,81,19690,3086,6685,0.462,435,1224,0.355,2651,5461,0.485,1412,1835,0.769,841,2547,3388,1834,615,349,993,1570,8019,Y,N,N,N,N,41
Chicago Bulls,2011,81,19590,3008,6508,0.462,504,1394,0.362,2504,5114,0.49,1470,1981,0.742,952,2624,3576,1804,589,459,1091,1619,7990,Y,Y,Y,N,N,61
Los Angeles Clippers,2011,81,19615,2971,6513,0.456,510,1504,0.339,2461,5009,0.491,1527,2160,0.707,943,2476,3419,1777,569,395,1256,1707,7979,N,N,N,N,N,31
Washington Wizards,2011,81,19690,3009,6798,0.443,388,1170,0.332,2621,5628,0.466,1478,1984,0.745,996,2347,3343,1568,654,492,1193,1825,7884,N,N,N,N,N,23
Detroit Pistons,2011,81,19640,3019,6571,0.459,466,1239,0.376,2553,5332,0.479,1343,1823,0.737,927,2199,3126,1704,590,323,990,1612,7847,N,N,N,N,N,29
Portland Trail Blazers,2011,81,19565,2923,6516,0.449,507,1477,0.343,2416,5039,0.479,1457,1810,0.805,979,2199,3178,1718,654,357,999,1570,7810,Y,N,N,N,N,48
Boston Celtics,2011,81,19540,2975,6134,0.485,400,1102,0.363,2575,5032,0.512,1451,1882,0.771,634,2507,3141,1902,667,343,1100,1657,7801,Y,Y,N,N,N,55
Cleveland Cavaliers,2011,81,19515,2851,6564,0.434,504,1468,0.343,2347,5096,0.461,1521,2046,0.743,843,2422,3265,1697,541,335,1112,1635,7727,N,N,N,N,N,18
Atlanta Hawks,2011,81,19490,2937,6350,0.463,501,1419,0.353,2436,4931,0.494,1330,1708,0.779,752,2433,3185,1786,494,334,1034,1539,7705,Y,Y,N,N,N,44
New Orleans Hornets,2011,81,19590,2910,6337,0.459,438,1218,0.36,2472,5119,0.483,1437,1880,0.764,819,2438,3257,1668,617,358,988,1691,7695,Y,N,N,N,N,46
New Jersey Nets,2011,81,19765,2882,6558,0.439,453,1322,0.343,2429,5236,0.464,1413,1865,0.758,901,2413,3314,1702,452,378,1058,1788,7630,N,N,N,N,N,24
Charlotte Bobcats,2011,81,19565,2833,6285,0.451,390,1193,0.327,2443,5092,0.48,1498,1983,0.755,841,2414,3255,1701,517,426,1115,1621,7554,N,N,N,N,N,33
Milwaukee Bucks,2011,81,19565,2774,6456,0.43,476,1396,0.341,2298,5060,0.454,1400,1854,0.755,854,2454,3308,1523,602,393,1013,1667,7424,N,N,N,N,N,34
Oklahoma City Thunder,2013,80,19350,3047,6323,0.482,590,1544,0.382,2457,4779,0.514,1792,2162,0.829,824,2662,3486,1714,661,616,1183,1622,8476,Y,Y,N,N,N,59
Houston Rockets,2013,79,19035,3001,6523,0.46,835,2280,0.366,2166,4243,0.51,1523,2016,0.755,886,2540,3426,1832,657,331,1252,1596,8360,Y,N,N,N,N,44
Denver Nuggets,2013,79,19185,3210,6724,0.477,503,1466,0.343,2707,5258,0.515,1433,2055,0.697,1050,2492,3542,1923,734,513,1151,1623,8356,Y,N,N,N,N,54
San Antonio Spurs,2013,79,19160,3099,6409,0.484,642,1704,0.377,2457,4705,0.522,1321,1671,0.791,642,2620,3262,1983,666,435,1119,1364,8161,Y,Y,Y,Y,N,58
Miami Heat,2013,79,19160,3037,6134,0.495,686,1735,0.395,2351,4399,0.534,1370,1800,0.761,656,2387,3043,1811,694,413,1045,1469,8130,Y,Y,Y,Y,Y,63
Los Angeles Lakers,2013,80,19250,2977,6465,0.46,696,1956,0.356,2281,4509,0.506,1541,2224,0.693,909,2650,3559,1773,564,416,1175,1436,8191,Y,N,N,N,N,43
Los Angeles Clippers,2013,79,19010,3042,6361,0.478,602,1685,0.357,2440,4676,0.522,1307,1837,0.711,901,2372,3273,1885,760,446,1098,1664,7993,Y,N,N,N,N,53
Dallas Mavericks,2013,79,19260,3061,6648,0.46,582,1572,0.37,2479,5076,0.488,1286,1625,0.791,743,2580,3323,1837,623,440,1073,1637,7990,N,N,N,N,N,39
Golden State Warriors,2013,80,19325,3044,6662,0.457,640,1591,0.402,2404,5071,0.474,1353,1713,0.79,862,2719,3581,1798,551,336,1177,1719,8081,Y,Y,N,N,N,45
Sacramento Kings,2013,79,19110,2969,6628,0.448,586,1603,0.366,2383,5025,0.474,1392,1806,0.771,904,2290,3194,1642,648,328,1111,1661,7916,N,N,N,N,N,28
New York Knicks,2013,79,19010,2888,6437,0.449,857,2279,0.376,2031,4158,0.488,1280,1689,0.758,863,2356,3219,1516,648,288,917,1595,7913,Y,Y,N,N,N,52
Milwaukee Bucks,2013,79,19110,3016,6925,0.436,570,1579,0.361,2446,5346,0.458,1215,1647,0.738,1024,2448,3472,1810,664,538,1082,1499,7817,Y,N,N,N,N,37
Utah Jazz,2013,80,19400,2985,6555,0.455,501,1364,0.367,2484,5191,0.479,1401,1834,0.764,969,2389,3358,1823,673,507,1142,1714,7872,N,N,N,N,N,42
Atlanta Hawks,2013,80,19375,3012,6466,0.466,695,1852,0.375,2317,4614,0.502,1125,1579,0.712,729,2527,3256,1971,649,366,1146,1439,7844,Y,N,N,N,N,44
Portland Trail Blazers,2013,79,19135,2906,6478,0.449,648,1839,0.352,2258,4639,0.487,1261,1625,0.776,851,2385,3236,1722,525,345,1116,1468,7721,N,N,N,N,N,33
Brooklyn Nets,2013,79,19135,2826,6287,0.449,605,1691,0.358,2221,4596,0.483,1391,1889,0.736,1006,2380,3386,1605,565,381,1096,1438,7648,Y,N,N,N,N,47
Toronto Raptors,2013,79,19260,2863,6445,0.444,543,1602,0.339,2320,4843,0.479,1382,1755,0.787,842,2314,3156,1696,579,376,1045,1783,7651,N,N,N,N,N,31
Cleveland Cavaliers,2013,79,19010,2884,6650,0.434,529,1529,0.346,2355,5121,0.46,1346,1774,0.759,974,2267,3241,1628,625,320,1064,1679,7643,N,N,N,N,N,24
Boston Celtics,2013,79,19360,2916,6294,0.463,481,1357,0.354,2435,4937,0.493,1295,1666,0.777,638,2473,3111,1797,650,359,1100,1680,7608,Y,N,N,N,N,40
Minnesota Timberwolves,2013,79,19010,2828,6453,0.438,430,1414,0.304,2398,5039,0.476,1472,1989,0.74,951,2376,3327,1770,665,376,1117,1460,7558,N,N,N,N,N,29
Phoenix Suns,2013,79,19085,2937,6645,0.442,457,1387,0.329,2480,5258,0.472,1164,1564,0.744,923,2365,3288,1769,630,417,1175,1629,7495,N,N,N,N,N,24
Indiana Pacers,2013,79,19110,2781,6380,0.436,541,1545,0.35,2240,4835,0.463,1396,1862,0.75,1017,2610,3627,1608,566,506,1136,1590,7499,Y,Y,Y,N,N,49
Detroit Pistons,2013,80,19325,2901,6477,0.448,503,1402,0.359,2398,5075,0.473,1265,1816,0.697,969,2403,3372,1702,550,392,1157,1578,7570,N,N,N,N,N,28
Orlando Magic,2013,79,19060,2987,6670,0.448,497,1499,0.332,2490,5171,0.482,982,1286,0.764,855,2527,3382,1809,510,347,1100,1539,7453,N,N,N,N,N,20
New Orleans Hornets,2013,80,19300,2891,6418,0.45,522,1441,0.362,2369,4977,0.476,1234,1590,0.776,943,2366,3309,1688,511,435,1094,1644,7538,N,N,N,N,N,27
Memphis Grizzlies,2013,79,19085,2858,6432,0.444,365,1060,0.344,2493,5372,0.464,1302,1681,0.775,1012,2342,3354,1650,680,420,1042,1594,7383,Y,Y,N,N,N,54
Washington Wizards,2013,80,19375,2833,6531,0.434,534,1468,0.364,2299,5063,0.454,1251,1709,0.732,869,2589,3458,1734,583,365,1172,1641,7451,N,N,N,N,N,29
Chicago Bulls,2013,79,19110,2818,6463,0.436,419,1204,0.348,2399,5259,0.456,1296,1675,0.774,995,2420,3415,1811,570,410,1077,1540,7351,Y,Y,N,N,N,43
Charlotte Bobcats,2013,79,19085,2706,6422,0.421,450,1352,0.333,2256,5070,0.445,1493,1992,0.749,895,2282,3177,1501,573,464,1034,1514,7355,N,N,N,N,N,18
Philadelphia 76ers,2013,79,19035,2939,6637,0.443,496,1376,0.36,2443,5261,0.464,969,1331,0.728,863,2406,3269,1799,581,364,990,1455,7343,N,N,N,N,N,32
Los Angeles Clippers,2014,80,19275,3130,6594,0.475,676,1908,0.354,2454,4686,0.524,1693,2321,0.729,843,2600,3443,1967,688,389,1069,1726,8629,Y,Y,N,N,N,56
Houston Rockets,2014,80,19350,3045,6437,0.473,761,2127,0.358,2284,4310,0.53,1774,2496,0.711,896,2730,3626,1714,614,455,1244,1644,8625,Y,N,N,N,N,53
Portland Trail Blazers,2014,80,19350,3122,6947,0.449,750,2021,0.371,2372,4926,0.482,1530,1872,0.817,991,2706,3697,1849,442,382,1070,1541,8524,Y,Y,N,N,N,52
Minnesota Timberwolves,2014,79,19085,3071,6909,0.444,577,1695,0.34,2494,5214,0.478,1696,2184,0.777,991,2548,3539,1876,693,284,1059,1444,8415,N,N,N,N,N,40
Oklahoma City Thunder,2014,79,19085,3089,6535,0.473,643,1756,0.366,2446,4779,0.512,1586,1970,0.805,844,2700,3544,1729,650,486,1177,1790,8407,Y,Y,Y,N,N,58
San Antonio Spurs,2014,80,19275,3246,6656,0.488,684,1710,0.4,2562,4946,0.518,1265,1614,0.784,744,2712,3456,2015,598,412,1138,1453,8441,Y,Y,Y,Y,Y,62
Phoenix Suns,2014,80,19275,3094,6679,0.463,752,2009,0.374,2342,4670,0.501,1494,1968,0.759,913,2546,3459,1532,667,363,1193,1757,8434,N,N,N,N,N,47
Dallas Mavericks,2014,81,19565,3205,6766,0.474,713,1847,0.386,2492,4919,0.507,1369,1722,0.795,825,2490,3315,1913,693,352,1069,1613,8492,Y,N,N,N,N,49
Denver Nuggets,2014,80,19275,3075,6876,0.447,685,1896,0.361,2390,4980,0.48,1507,2089,0.721,987,2654,3641,1795,601,451,1222,1836,8342,N,N,N,N,N,36
Golden State Warriors,2014,79,19085,3099,6723,0.461,734,1940,0.378,2365,4783,0.494,1254,1661,0.755,860,2721,3581,1832,607,399,1182,1707,8186,Y,N,N,N,N,49
Los Angeles Lakers,2014,79,18985,3014,6727,0.448,742,1954,0.38,2272,4773,0.476,1350,1785,0.756,725,2522,3247,1917,587,433,1176,1579,8120,N,N,N,N,N,25
Miami Heat,2014,80,19400,3076,6119,0.503,648,1772,0.366,2428,4347,0.559,1400,1846,0.758,613,2346,2959,1808,713,362,1135,1565,8200,Y,Y,Y,Y,N,54
Toronto Raptors,2014,79,19235,2879,6476,0.445,681,1833,0.372,2198,4643,0.473,1548,1976,0.783,900,2453,3353,1670,549,335,1053,1805,7987,Y,N,N,N,N,46
Atlanta Hawks,2014,80,19350,2986,6533,0.457,752,2062,0.365,2234,4471,0.5,1354,1733,0.781,704,2505,3209,1985,661,321,1171,1538,8078,Y,N,N,N,N,37
Detroit Pistons,2014,80,19300,3105,6957,0.446,494,1541,0.321,2611,5416,0.482,1364,2032,0.671,1160,2465,3625,1669,675,388,1112,1609,8068,N,N,N,N,N,29
Sacramento Kings,2014,80,19350,2948,6598,0.447,481,1439,0.334,2467,5159,0.478,1659,2180,0.761,969,2576,3545,1503,573,309,1171,1806,8036,N,N,N,N,N,27
Washington Wizards,2014,80,19575,3081,6754,0.456,627,1657,0.378,2454,5097,0.481,1233,1683,0.733,872,2509,3381,1847,653,372,1126,1636,8022,Y,Y,N,N,N,42
New Orleans Pelicans,2014,80,19375,3023,6600,0.458,471,1262,0.373,2552,5338,0.478,1454,1886,0.771,912,2426,3338,1702,629,508,1047,1821,7971,N,N,N,N,N,32
Philadelphia 76ers,2014,80,19375,3027,6997,0.433,564,1812,0.311,2463,5185,0.475,1324,1864,0.71,935,2493,3428,1742,740,317,1316,1801,7942,N,N,N,N,N,17
Brooklyn Nets,2014,79,19160,2834,6164,0.46,679,1843,0.368,2155,4321,0.499,1452,1925,0.754,689,2322,3011,1645,675,304,1087,1719,7799,Y,Y,N,N,N,43
New York Knicks,2014,79,19135,2921,6510,0.449,731,1975,0.37,2190,4535,0.483,1207,1590,0.759,844,2355,3199,1597,599,351,976,1739,7780,N,N,N,N,N,34
Cleveland Cavaliers,2014,81,19690,2990,6868,0.435,576,1620,0.356,2414,5248,0.46,1384,1844,0.751,976,2591,3567,1706,569,297,1093,1622,7940,N,N,N,N,N,32
Charlotte Bobcats,2014,80,19400,2907,6565,0.443,505,1425,0.354,2402,5140,0.467,1437,1943,0.74,752,2647,3399,1728,488,412,936,1459,7756,N,N,N,N,N,41
Orlando Magic,2014,79,19235,2919,6559,0.445,543,1546,0.351,2376,5013,0.474,1264,1657,0.763,773,2572,3345,1664,604,337,1120,1612,7645,N,N,N,N,N,23
Indiana Pacers,2014,80,19300,2870,6413,0.448,530,1499,0.354,2340,4914,0.476,1460,1873,0.779,809,2758,3567,1602,542,440,1152,1637,7730,Y,Y,Y,N,N,54
Boston Celtics,2014,80,19250,2917,6713,0.435,559,1675,0.334,2358,5038,0.468,1289,1657,0.778,957,2451,3408,1676,568,338,1152,1704,7682,N,N,N,N,N,25
Memphis Grizzlies,2014,79,19060,2997,6470,0.463,386,1097,0.352,2611,5373,0.486,1199,1613,0.743,904,2430,3334,1718,609,366,1009,1522,7579,Y,N,N,N,N,47
Milwaukee Bucks,2014,80,19400,2874,6587,0.436,535,1525,0.351,2339,5062,0.462,1343,1796,0.748,954,2341,3295,1714,529,395,1136,1671,7626,N,N,N,N,N,15
Utah Jazz,2014,80,19250,2856,6463,0.442,531,1534,0.346,2325,4929,0.472,1308,1754,0.746,873,2411,3284,1609,555,353,1109,1649,7551,N,N,N,N,N,24
Chicago Bulls,2014,79,19185,2741,6340,0.432,489,1402,0.349,2252,4938,0.456,1426,1829,0.78,911,2584,3495,1789,575,416,1113,1505,7397,Y,N,N,N,N,47
Golden State Warriors,2015,80,19250,3324,6973,0.477,857,2165,0.396,2467,4808,0.513,1267,1648,0.769,833,2754,3587,2188,742,483,1122,1581,8772,Y,Y,Y,Y,Y,65
Los Angeles Clippers,2015,80,19250,3149,6661,0.473,805,2143,0.376,2344,4518,0.519,1426,2012,0.709,760,2644,3404,1980,623,396,942,1714,8529,Y,Y,N,N,N,54
Dallas Mavericks,2015,80,19400,3182,6868,0.463,714,2037,0.351,2468,4831,0.511,1344,1786,0.753,834,2537,3371,1810,650,362,999,1606,8422,Y,N,N,N,N,49
Toronto Raptors,2015,80,19375,3035,6672,0.455,705,2003,0.352,2330,4669,0.499,1567,1990,0.787,869,2463,3332,1657,598,345,971,1678,8342,Y,N,N,N,N,48
Houston Rockets,2015,80,19325,2956,6671,0.443,912,2617,0.348,2044,4054,0.504,1481,2073,0.714,944,2540,3484,1773,759,384,1279,1766,8305,Y,Y,Y,N,N,54
Oklahoma City Thunder,2015,80,19350,3093,6928,0.446,616,1815,0.339,2477,5113,0.484,1483,1962,0.756,1016,2776,3792,1645,580,442,1129,1785,8285,N,N,N,N,N,43
San Antonio Spurs,2015,81,19715,3163,6775,0.467,674,1837,0.367,2489,4938,0.504,1358,1741,0.78,802,2740,3542,1967,655,441,1089,1544,8358,Y,N,N,N,N,55
Portland Trail Blazers,2015,80,19375,3099,6875,0.451,792,2183,0.363,2307,4692,0.492,1251,1562,0.801,864,2816,3680,1757,517,364,1056,1451,8241,Y,N,N,N,N,51
Cleveland Cavaliers,2015,80,19275,3003,6563,0.458,793,2191,0.362,2210,4372,0.505,1436,1905,0.754,887,2547,3434,1755,591,329,1092,1474,8235,Y,Y,Y,Y,N,51
Atlanta Hawks,2015,80,19250,3046,6519,0.467,799,2091,0.382,2247,4428,0.507,1325,1705,0.777,693,2554,3247,2069,724,367,1080,1421,8216,Y,Y,Y,N,N,60
Phoenix Suns,2015,81,19640,3139,6958,0.451,687,2022,0.34,2452,4936,0.497,1331,1747,0.762,885,2615,3500,1634,692,382,1177,1728,8296,N,N,N,N,N,39
Boston Celtics,2015,80,19400,3113,7027,0.443,641,1964,0.326,2472,5063,0.488,1245,1649,0.755,885,2622,3507,1948,658,283,1058,1703,8112,Y,N,N,N,N,38
Denver Nuggets,2015,80,19400,3016,6974,0.432,642,1981,0.324,2374,4993,0.475,1417,1933,0.733,978,2589,3567,1742,624,363,1101,1830,8091,N,N,N,N,N,30
Sacramento Kings,2015,80,19375,2929,6461,0.453,449,1317,0.341,2480,5144,0.482,1779,2323,0.766,884,2656,3540,1615,536,314,1260,1666,8086,N,N,N,N,N,27
Chicago Bulls,2015,80,19400,2926,6632,0.441,626,1771,0.353,2300,4861,0.473,1583,2024,0.782,943,2712,3655,1741,496,459,1052,1465,8061,Y,Y,N,N,N,48
New Orleans Pelicans,2015,80,19300,3028,6628,0.457,575,1552,0.37,2453,5076,0.483,1308,1741,0.751,925,2564,3489,1768,536,494,1015,1489,7939,Y,N,N,N,N,43
Los Angeles Lakers,2015,80,19450,2978,6830,0.436,521,1507,0.346,2457,5323,0.462,1405,1897,0.741,919,2585,3504,1674,564,355,1010,1687,7882,N,N,N,N,N,21
Washington Wizards,2015,80,19400,3060,6589,0.464,482,1335,0.361,2578,5254,0.491,1275,1720,0.741,834,2720,3554,1921,585,371,1155,1672,7877,Y,Y,N,N,N,46
Detroit Pistons,2015,80,19350,2962,6874,0.431,684,1992,0.343,2278,4882,0.467,1260,1791,0.704,1032,2574,3606,1730,605,376,1018,1529,7868,N,N,N,N,N,31
Memphis Grizzlies,2015,80,19425,3020,6589,0.458,416,1222,0.34,2604,5367,0.485,1404,1818,0.772,822,2576,3398,1741,679,340,1037,1528,7860,Y,Y,N,N,N,54
Brooklyn Nets,2015,80,19450,2998,6637,0.452,529,1597,0.331,2469,5040,0.49,1326,1772,0.748,827,2564,3391,1679,566,332,1076,1553,7851,Y,N,N,N,N,37
Milwaukee Bucks,2015,80,19450,3002,6552,0.458,534,1470,0.363,2468,5082,0.486,1278,1682,0.76,848,2515,3363,1874,769,394,1274,1772,7816,Y,N,N,N,N,40
Minnesota Timberwolves,2015,80,19325,2916,6658,0.438,396,1190,0.333,2520,5468,0.461,1587,2047,0.775,927,2346,3273,1730,655,313,1145,1526,7815,N,N,N,N,N,16
Indiana Pacers,2015,80,19325,2926,6641,0.441,595,1686,0.353,2331,4955,0.47,1352,1785,0.757,829,2757,3586,1720,493,358,1068,1699,7799,N,N,N,N,N,37
Orlando Magic,2015,80,19275,3003,6628,0.453,541,1557,0.347,2462,5071,0.486,1119,1524,0.734,801,2545,3346,1660,631,306,1150,1670,7666,N,N,N,N,N,25
Utah Jazz,2015,80,19225,2821,6309,0.447,594,1726,0.344,2227,4583,0.486,1365,1885,0.724,962,2551,3513,1585,601,477,1138,1543,7601,N,N,N,N,N,37
Miami Heat,2015,80,19250,2807,6158,0.456,541,1618,0.334,2266,4540,0.499,1404,1897,0.74,724,2392,3116,1583,630,361,1110,1600,7559,N,N,N,N,N,35
Charlotte Hornets,2015,80,19425,2849,6778,0.42,473,1501,0.315,2376,5277,0.45,1373,1834,0.749,805,2729,3534,1616,483,440,889,1467,7544,N,N,N,N,N,33
Philadelphia 76ers,2015,80,19325,2695,6613,0.408,681,2103,0.324,2014,4510,0.447,1273,1894,0.672,951,2478,3429,1635,771,476,1341,1729,7344,N,N,N,N,N,18
New York Knicks,2015,80,19375,2806,6572,0.427,540,1570,0.344,2266,5002,0.453,1181,1529,0.772,846,2385,3231,1694,562,372,1092,1731,7333,N,N,N,N,N,16
Golden State Warriors,2016,81,19640,3443,7072,0.487,1057,2545,0.415,2386,4527,0.527,1353,1774,0.763,804,2933,3737,2338,682,491,1202,1687,9296,Y,Y,Y,Y,N,72
Oklahoma City Thunder,2016,82,19830,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1269,1691,9038,Y,Y,N,N,N,55
Sacramento Kings,2016,81,19565,3251,6987,0.465,649,1802,0.36,2602,5185,0.502,1508,2076,0.726,853,2726,3579,1988,722,364,1257,1659,8659,N,N,N,N,N,33
Houston Rockets,2016,81,19590,3047,6750,0.451,868,2498,0.347,2179,4252,0.512,1659,2388,0.695,916,2560,3476,1788,810,423,1236,1775,8621,Y,N,N,N,N,40
Boston Celtics,2016,81,19540,3179,7232,0.44,712,2128,0.335,2467,5104,0.483,1501,1907,0.787,940,2704,3644,1961,745,345,1097,1776,8571,Y,N,N,N,N,47
Portland Trail Blazers,2016,81,19565,3128,6951,0.45,853,2300,0.371,2275,4651,0.489,1406,1867,0.753,935,2750,3685,1729,551,372,1139,1763,8515,Y,Y,N,N,N,43
Los Angeles Clippers,2016,81,19590,3098,6663,0.465,788,2159,0.365,2310,4504,0.513,1480,2140,0.692,715,2693,3408,1850,700,454,1001,1726,8464,Y,N,N,N,N,53
Cleveland Cavaliers,2016,81,19590,3125,6791,0.46,873,2410,0.362,2252,4381,0.514,1322,1768,0.748,865,2742,3607,1840,547,310,1046,1643,8445,Y,Y,Y,Y,Y,57
Washington Wizards,2016,81,19515,3196,6945,0.46,700,1955,0.358,2496,4990,0.5,1333,1819,0.733,732,2648,3380,1980,694,319,1119,1686,8425,N,N,N,N,N,40
San Antonio Spurs,2016,81,19465,3254,6723,0.484,564,1495,0.377,2690,5228,0.515,1322,1646,0.803,762,2797,3559,1986,669,482,1014,1414,8394,Y,Y,N,N,N,66
Charlotte Hornets,2016,81,19615,2989,6836,0.437,862,2381,0.362,2127,4455,0.477,1522,1922,0.792,729,2828,3557,1746,589,433,964,1473,8362,Y,N,N,N,N,47
Atlanta Hawks,2016,81,19590,3136,6842,0.458,804,2297,0.35,2332,4545,0.513,1259,1607,0.783,670,2734,3404,2078,734,481,1169,1549,8335,Y,Y,N,N,N,48
Toronto Raptors,2016,81,19540,2965,6576,0.451,695,1878,0.37,2270,4698,0.483,1694,2175,0.779,820,2683,3503,1512,631,439,985,1598,8319,Y,Y,Y,N,N,55
New Orleans Pelicans,2016,81,19540,3113,6948,0.448,691,1921,0.36,2422,5027,0.482,1397,1801,0.776,772,2689,3461,1787,626,342,1053,1697,8314,N,N,N,N,N,30
Dallas Mavericks,2016,81,19765,3033,6823,0.445,794,2303,0.345,2239,4520,0.495,1437,1810,0.794,740,2751,3491,1793,552,304,999,1572,8297,Y,N,N,N,N,42
Indiana Pacers,2016,81,19640,3103,6895,0.45,652,1865,0.35,2451,5030,0.487,1422,1862,0.764,835,2743,3578,1713,734,388,1159,1627,8280,Y,N,N,N,N,44
Orlando Magic,2016,81,19665,3200,7029,0.455,628,1791,0.351,2572,5238,0.491,1238,1631,0.759,838,2675,3513,1911,666,413,1105,1683,8266,N,N,N,N,N,35
Denver Nuggets,2016,81,19590,3053,6909,0.442,649,1918,0.338,2404,4991,0.482,1501,1956,0.767,921,2685,3606,1834,599,389,1142,1704,8256,N,N,N,N,N,33
Minnesota Timberwolves,2016,81,19640,3039,6582,0.462,442,1319,0.335,2597,5263,0.493,1734,2190,0.792,816,2549,3365,1875,642,367,1164,1676,8254,N,N,N,N,N,28
Detroit Pistons,2016,81,19615,3074,7002,0.439,724,2115,0.342,2350,4887,0.481,1377,2067,0.666,1012,2739,3751,1570,568,293,1051,1542,8249,Y,N,N,N,N,43
Chicago Bulls,2016,81,19665,3126,7087,0.441,636,1729,0.368,2490,5358,0.465,1332,1693,0.787,891,2852,3743,1843,487,462,1076,1532,8220,N,N,N,N,N,41
Phoenix Suns,2016,81,19465,3006,6919,0.434,731,2092,0.349,2275,4827,0.471,1414,1883,0.751,925,2693,3618,1675,622,308,1342,1843,8157,N,N,N,N,N,22
Miami Heat,2016,81,19590,3112,6609,0.471,496,1461,0.339,2616,5148,0.508,1396,1877,0.744,793,2781,3574,1695,548,521,1077,1481,8116,Y,Y,N,N,N,48
Milwaukee Bucks,2016,81,19590,3108,6653,0.467,433,1254,0.345,2675,5399,0.495,1381,1850,0.746,851,2523,3374,1872,664,472,1185,1680,8030,N,N,N,N,N,33
Memphis Grizzlies,2016,81,19590,2977,6761,0.44,496,1497,0.331,2481,5264,0.471,1572,2008,0.783,903,2470,3373,1672,712,349,1028,1765,8022,Y,N,N,N,N,42
Brooklyn Nets,2016,81,19515,3097,6831,0.453,521,1482,0.352,2576,5349,0.482,1278,1687,0.758,858,2580,3438,1803,619,324,1166,1459,7993,N,N,N,N,N,21
New York Knicks,2016,82,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1038,1616,8065,N,N,N,N,N,32
Utah Jazz,2016,81,19715,2918,6510,0.448,685,1926,0.356,2233,4584,0.487,1393,1870,0.745,872,2635,3507,1528,621,424,1149,1639,7914,N,N,N,N,N,40
Los Angeles Lakers,2016,81,19490,2839,6871,0.413,633,1991,0.318,2206,4880,0.452,1570,2013,0.78,870,2606,3476,1459,587,334,1054,1645,7881,N,N,N,N,N,16
